yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam,cityTeam,teamName,slugOrganizationTypeFrom,locationOrganizationFrom
2007,50,2,20,Renaldas Seibutis,DAL,Maroussi B.C.,Other Team/Club,201190,1610612742,Dallas Mavericks,Dallas,Mavericks,PRO,Greece
2007,51,2,21,JamesOn Curry,CHI,Oklahoma State,College/University,201191,1610612741,Chicago Bulls,Chicago,Bulls,COL,NA
2007,52,2,22,Taurean Green,POR,Florida,College/University,201192,1610612757,Portland Trail Blazers,Portland,Trail Blazers,COL,NA
2007,53,2,23,Demetris Nichols,POR,Syracuse,College/University,201193,1610612757,Portland Trail Blazers,Portland,Trail Blazers,COL,NA
2007,54,2,24,Brad Newley,HOU,Townsville Crocodiles,Other Team/Club,201194,1610612745,Houston Rockets,Houston,Rockets,PRO,Australia
2007,55,2,25,Herbert Hill,UTA,Providence,College/University,201195,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2007,56,2,26,Ramon Sessions,MIL,Nevada-Reno,College/University,201196,1610612749,Milwaukee Bucks,Milwaukee,Bucks,COL,NA
2007,57,2,27,Sammy Mejia,DET,DePaul,College/University,201197,1610612765,Detroit Pistons,Detroit,Pistons,COL,NA
2007,58,2,28,Giorgos Printezis,SAS,Olympiacos B.C.,Other Team/Club,201198,1610612759,San Antonio Spurs,San Antonio,Spurs,PRO,Greece
2007,59,2,29,DJ Strawberry,PHX,Maryland,College/University,201199,1610612756,Phoenix Suns,Phoenix,Suns,COL,NA
2007,60,2,30,Milovan Rakovic,DAL,KK Mega Leks,Other Team/Club,201200,1610612742,Dallas Mavericks,Dallas,Mavericks,PRO,Serbia
2006,1,1,1,Andrea Bargnani,TOR,Universo Treviso Basket,Other Team/Club,200745,1610612761,Toronto Raptors,Toronto,Raptors,PRO,Italy
2006,2,1,2,LaMarcus Aldridge,CHI,Texas,College/University,200746,1610612741,Chicago Bulls,Chicago,Bulls,COL,NA
2006,3,1,3,Adam Morrison,CHA,Gonzaga,College/University,200747,1610612766,Charlotte Bobcats,Charlotte,Bobcats,COL,NA
2006,4,1,4,Tyrus Thomas,POR,Louisiana State,College/University,200748,1610612757,Portland Trail Blazers,Portland,Trail Blazers,COL,NA
2006,5,1,5,Shelden Williams,ATL,Duke,College/University,200749,1610612737,Atlanta Hawks,Atlanta,Hawks,COL,NA
2006,6,1,6,Brandon Roy,MIN,Washington,College/University,200750,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,COL,NA
2006,7,1,7,Randy Foye,BOS,Villanova,College/University,200751,1610612738,Boston Celtics,Boston,Celtics,COL,NA
2006,8,1,8,Rudy Gay,HOU,Connecticut,College/University,200752,1610612745,Houston Rockets,Houston,Rockets,COL,NA
2006,9,1,9,Patrick OBryant,GSW,Bradley,College/University,200753,1610612744,Golden State Warriors,Golden State,Warriors,COL,NA
2006,10,1,10,Mouhamed Sene,SEA,VOO Wolves Verviers-Pepinster,Other Team/Club,200754,1610612760,Seattle SuperSonics,Seattle,SuperSonics,PRO,Belgium
2006,11,1,11,JJ Redick,ORL,Duke,College/University,200755,1610612753,Orlando Magic,Orlando,Magic,COL,NA
2006,12,1,12,Hilton Armstrong,NOK,Connecticut,College/University,200756,1610612740,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City,Hornets,COL,NA
2006,13,1,13,Thabo Sefolosha,PHI,Pallacanestro Biella,Other Team/Club,200757,1610612755,Philadelphia 76ers,Philadelphia,76ers,PRO,Italy
2006,14,1,14,Ronnie Brewer,UTA,Arkansas,College/University,200758,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2006,15,1,15,Cedric Simmons,NOK,North Carolina State,College/University,200759,1610612740,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City,Hornets,COL,NA
2006,16,1,16,Rodney Carney,CHI,Memphis,College/University,200760,1610612741,Chicago Bulls,Chicago,Bulls,COL,NA
2006,17,1,17,Shawne Williams,IND,Memphis,College/University,200761,1610612754,Indiana Pacers,Indiana,Pacers,COL,NA
2006,18,1,18,Oleksiy Pecherov,WAS,Paris Basket Racing,Other Team/Club,200762,1610612764,Washington Wizards,Washington,Wizards,PRO,France
2006,19,1,19,Quincy Douby,SAC,Rutgers,College/University,200763,1610612758,Sacramento Kings,Sacramento,Kings,COL,NA
2006,20,1,20,Renaldo Balkman,NYK,South Carolina,College/University,200764,1610612752,New York Knicks,New York,Knicks,COL,NA
2006,21,1,21,Rajon Rondo,PHX,Kentucky,College/University,200765,1610612756,Phoenix Suns,Phoenix,Suns,COL,NA
2006,22,1,22,Marcus Williams,NJN,Connecticut,College/University,200766,1610612751,New Jersey Nets,New Jersey,Nets,COL,NA
2006,23,1,23,Josh Boone,NJN,Connecticut,College/University,200767,1610612751,New Jersey Nets,New Jersey,Nets,COL,NA
2006,24,1,24,Kyle Lowry,MEM,Villanova,College/University,200768,1610612763,Memphis Grizzlies,Memphis,Grizzlies,COL,NA
2006,25,1,25,Shannon Brown,CLE,Michigan State,College/University,200769,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,COL,NA
2006,26,1,26,Jordan Farmar,LAL,California-Los Angeles,College/University,200770,1610612747,Los Angeles Lakers,Los Angeles,Lakers,COL,NA
2006,27,1,27,Sergio Rodriguez,PHX,CB Estudiantes,Other Team/Club,200771,1610612756,Phoenix Suns,Phoenix,Suns,PRO,Spain
2006,28,1,28,Maurice Ager,DAL,Michigan State,College/University,200772,1610612742,Dallas Mavericks,Dallas,Mavericks,COL,NA
2006,29,1,29,Mardy Collins,NYK,Temple,College/University,200776,1610612752,New York Knicks,New York,Knicks,COL,NA
2006,30,1,30,Joel Freeland,POR,CB Gran Canaria,Other Team/Club,200777,1610612757,Portland Trail Blazers,Portland,Trail Blazers,PRO,Spain
2006,31,2,1,James White,POR,Cincinnati,College/University,200778,1610612757,Portland Trail Blazers,Portland,Trail Blazers,COL,NA
2006,32,2,2,Steve Novak,HOU,Marquette,College/University,200779,1610612745,Houston Rockets,Houston,Rockets,COL,NA
2006,33,2,3,Solomon Jones,ATL,South Florida,College/University,200780,1610612737,Atlanta Hawks,Atlanta,Hawks,COL,NA
2006,34,2,4,Paul Davis,LAC,Michigan State,College/University,200781,1610612746,Los Angeles Clippers,Los Angeles,Clippers,COL,NA
2006,35,2,5,P.J. Tucker,TOR,Texas,College/University,200782,1610612761,Toronto Raptors,Toronto,Raptors,COL,NA
2006,36,2,6,Craig Smith,MIN,Boston College,College/University,200783,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,COL,NA
2006,37,2,7,Bobby Jones,MIN,Washington,College/University,200784,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,COL,NA
2006,38,2,8,Kosta Perovic,GSW,KK Partizan,Other Team/Club,200785,1610612744,Golden State Warriors,Golden State,Warriors,PRO,Serbia
2006,39,2,9,David Noel,MIL,North Carolina,College/University,200786,1610612749,Milwaukee Bucks,Milwaukee,Bucks,COL,NA
2006,40,2,10,Denham Brown,SEA,Connecticut,College/University,200787,1610612760,Seattle SuperSonics,Seattle,SuperSonics,COL,NA
2006,41,2,11,James Augustine,ORL,Illinois,College/University,200788,1610612753,Orlando Magic,Orlando,Magic,COL,NA
2006,42,2,12,Daniel Gibson,CLE,Texas,College/University,200789,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,COL,NA
2006,43,2,13,Marcus Vinicius,NOK,Objetivo Sao Carlos,Other Team/Club,200790,1610612740,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City,Hornets,PRO,Brazil
2006,44,2,14,Lior Eliyahu,ORL,Hapoel Galil Elyon,Other Team/Club,200791,1610612753,Orlando Magic,Orlando,Magic,PRO,Israel
2006,45,2,15,Alexander Johnson,IND,Florida State,College/University,200792,1610612754,Indiana Pacers,Indiana,Pacers,COL,NA
2006,46,2,16,Dee Brown,UTA,Illinois,College/University,200793,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2006,47,2,17,Paul Millsap,UTA,Louisiana Tech,College/University,200794,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2006,48,2,18,Vladimir Veremeenko,WAS,CB Cornella,Other Team/Club,200795,1610612764,Washington Wizards,Washington,Wizards,PRO,Spain
2006,49,2,19,Leon Powe,DEN,California,College/University,200796,1610612743,Denver Nuggets,Denver,Nuggets,COL,NA
2006,50,2,20,Ryan Hollins,CHA,California-Los Angeles,College/University,200797,1610612766,Charlotte Bobcats,Charlotte,Bobcats,COL,NA
2006,51,2,21,Cheikh Samb,LAL,CB Cornella,Other Team/Club,200798,1610612747,Los Angeles Lakers,Los Angeles,Lakers,PRO,Spain
2006,52,2,22,Guillermo Diaz,LAC,Miami (FL),College/University,200799,1610612746,Los Angeles Clippers,Los Angeles,Clippers,COL,NA
2006,53,2,23,Yotam Halperin,SEA,KK Olimpija,Other Team/Club,200800,1610612760,Seattle SuperSonics,Seattle,SuperSonics,PRO,Slovenia
2006,54,2,24,Hassan Adams,NJN,Arizona,College/University,200801,1610612751,New Jersey Nets,New Jersey,Nets,COL,NA
2006,55,2,25,Ejike Ugboaja,CLE,Union Bank Lagos B.C.,Other Team/Club,200802,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,PRO,Nigeria
2006,56,2,26,Edin Bavcic,TOR,KK Bosna Royal,Other Team/Club,200803,1610612761,Toronto Raptors,Toronto,Raptors,PRO,Bosnia and Herzegovina
2006,57,2,27,Loukas Mavrokefalidis,MIN,P.A.O.K. B.C.,Other Team/Club,200804,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,PRO,Greece
2006,58,2,28,JR Pinnock,DAL,George Washington,College/University,200805,1610612742,Dallas Mavericks,Dallas,Mavericks,COL,NA
2006,59,2,29,Damir Markota,SAS,KK Cibona,Other Team/Club,200806,1610612759,San Antonio Spurs,San Antonio,Spurs,PRO,Croatia
2006,60,2,30,Will Blalock,DET,Iowa State,College/University,200807,1610612765,Detroit Pistons,Detroit,Pistons,COL,NA
2005,1,1,1,Andrew Bogut,MIL,Utah,College/University,101106,1610612749,Milwaukee Bucks,Milwaukee,Bucks,COL,NA
2005,2,1,2,Marvin Williams,ATL,North Carolina,College/University,101107,1610612737,Atlanta Hawks,Atlanta,Hawks,COL,NA
2005,3,1,3,Deron Williams,UTA,Illinois,College/University,101114,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2005,4,1,4,Chris Paul,NOK,Wake Forest,College/University,101108,1610612740,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City,Hornets,COL,NA
2005,5,1,5,Raymond Felton,CHA,North Carolina,College/University,101109,1610612766,Charlotte Bobcats,Charlotte,Bobcats,COL,NA
2005,6,1,6,Martell Webster,POR,Seattle Preparatory School,High School,101110,1610612757,Portland Trail Blazers,Portland,Trail Blazers,HS,NA
2005,7,1,7,Charlie Villanueva,TOR,Connecticut,College/University,101111,1610612761,Toronto Raptors,Toronto,Raptors,COL,NA
2005,8,1,8,Channing Frye,NYK,Arizona,College/University,101112,1610612752,New York Knicks,New York,Knicks,COL,NA
2005,9,1,9,Ike Diogu,GSW,Arizona State,College/University,101113,1610612744,Golden State Warriors,Golden State,Warriors,COL,NA
2005,10,1,10,Andrew Bynum,LAL,Saint Joseph,High School,101115,1610612747,Los Angeles Lakers,Los Angeles,Lakers,HS,NA
2005,11,1,11,Fran Vazquez,ORL,Baloncesto Malaga,Other Team/Club,101116,1610612753,Orlando Magic,Orlando,Magic,PRO,Spain
2005,12,1,12,Yaroslav Korolev,LAC,PBC CSKA Moscow,Other Team/Club,101117,1610612746,Los Angeles Clippers,Los Angeles,Clippers,PRO,Russia
2005,13,1,13,Sean May,CHA,North Carolina,College/University,101118,1610612766,Charlotte Bobcats,Charlotte,Bobcats,COL,NA
2005,14,1,14,Rashad McCants,MIN,North Carolina,College/University,101119,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,COL,NA
2005,15,1,15,Antoine Wright,NJN,Texas A&M,College/University,101120,1610612751,New Jersey Nets,New Jersey,Nets,COL,NA
2005,16,1,16,Joey Graham,TOR,Oklahoma State,College/University,101121,1610612761,Toronto Raptors,Toronto,Raptors,COL,NA
2005,17,1,17,Danny Granger,IND,New Mexico,College/University,101122,1610612754,Indiana Pacers,Indiana,Pacers,COL,NA
2005,18,1,18,Gerald Green,BOS,Gulf Shores Academy,High School,101123,1610612738,Boston Celtics,Boston,Celtics,HS,NA
2005,19,1,19,Hakim Warrick,MEM,Syracuse,College/University,101124,1610612763,Memphis Grizzlies,Memphis,Grizzlies,COL,NA
2005,20,1,20,Julius Hodge,DEN,North Carolina State,College/University,101125,1610612743,Denver Nuggets,Denver,Nuggets,COL,NA
2005,21,1,21,Nate Robinson,PHX,Washington,College/University,101126,1610612756,Phoenix Suns,Phoenix,Suns,COL,NA
